#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 09 09 50  92 10.8 14.2  5.23 12.12  9.78 213 1000.8   9.9  10.5   6.7 99.0 99.00
2019 01 09 10 50 111  9.1 11.0  5.46 13.79  9.86 227 1002.3  10.3  10.5   7.3 99.0 99.00
2019 01 09 11 50 128  9.8 11.8  4.55 13.79  8.92 223 1001.7  11.2  10.5   8.2 99.0 99.00
2019 01 09 12 50 130  9.0 10.8  4.87 12.12  9.28 206 1001.1  11.6  10.6   8.5 99.0 99.00
2019 01 09 13 50 145 11.4 14.4  5.17 13.79  9.34 234 1000.8  12.3  10.6   8.1 99.0 99.00
2019 01 09 14 50 146 11.4 14.4  5.35 11.43  8.95 212 1000.7  12.2  10.6   7.9 99.0 99.00
2019 01 09 15 50 155 10.3 12.1  4.70 13.79  8.46 228 1001.1  11.9  10.6   8.3 99.0 99.00
2019 01 09 16 50 153 13.8 17.0  4.98 12.90  8.26 220 1001.1  12.0  10.6   8.4 99.0 99.00
2019 01 09 17 50 149 13.4 16.0  4.78 12.12  8.29 210 1001.2  11.4  10.6   9.2 99.0 99.00
2019 01 09 18 50 155 15.2 18.3  5.29 12.12  8.54 217 1001.2  11.0  10.5   9.5 99.0 99.00
2019 01 09 19 50 160 15.3 19.8  4.57 12.90  7.75 213 1000.9  10.9  10.6  10.2 99.0 99.00
2019 01 09 20 50 159 15.8 18.7  5.21 12.90  8.10 212 1000.2  11.0  10.5  10.6 99.0 99.00
2019 01 09 21 50 179 13.6 16.4  5.03 12.90  8.28 211 1000.8  11.7  10.5  11.1 99.0 99.00
2019 01 09 22 50 176 13.4 17.8  5.13 12.12  8.16 210 1001.5  11.7  10.5  10.3 99.0 99.00
2019 01 09 23 50 178 12.5 15.5  4.92 12.12  8.12 200 1002.6  11.5  10.5  10.4 99.0 99.00
2019 01 10 00 50 188 12.2 14.6  5.08 12.90  8.38 211 1003.9  11.7  10.5  10.3 99.0 99.00
2019 01 10 01 50 187 12.1 15.0  5.37 12.90  8.52 214 1005.1  11.7  10.5  10.2 99.0 99.00
2019 01 10 02 50 184 11.5 14.7  4.78 12.12  8.11 208 1006.2  11.6  10.5  10.3 99.0 99.00
2019 01 10 03 50 190 10.3 13.2  4.53 12.12  7.90 213 1007.4  11.5  10.5  10.3 99.0 99.00
2019 01 10 04 50 199 10.8 13.7  4.57 11.43  8.14 206 1008.6  11.3  10.6  10.4 99.0 99.00
2019 01 10 05 50 193  9.9 12.5  4.57 12.12  8.23 211 1009.5  11.5  10.6  10.4 99.0 99.00
2019 01 10 06 50 195 10.3 12.4  4.15 11.43  7.79 213 1010.4  11.4  10.6  10.3 99.0 99.00
2019 01 10 07 50 196  9.8 12.0  3.95 11.43  7.75 212 1011.3  11.3  10.6  10.1 99.0 99.00
2019 01 10 08 50 198  9.9 11.8  3.72 11.43  7.45 215 1011.9  11.2  10.6   9.9 99.0 99.00
2019 01 10 09 50 192 10.2 12.5  3.67 10.81  7.44 206 1012.9  11.1  10.6   9.9 99.0 99.00
2019 01 10 10 50 186  9.7 11.7  3.77 11.43  7.50 204 1014.1  11.2  10.6   9.6 99.0 99.00
2019 01 10 11 50 186 10.1 12.5  3.38 10.81  7.38 212 1014.5  11.2  10.6   9.8 99.0 99.00
2019 01 10 12 50 169  8.2 10.0  3.31 10.81  7.28 210 1014.1  11.1  10.6   9.8 99.0 99.00
2019 01 10 13 50 160  8.9 10.5  3.40 10.81  7.36 209 1014.5  11.1  10.6   9.5 99.0 99.00
2019 01 10 14 50 156  9.4 11.3  3.15 10.81  7.02 204 1015.3  11.1  10.6   9.8 99.0 99.00
