#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 01 08 18 50 207 12.8 15.0  3.19 12.90  6.57 268 1014.9  10.6  10.5 999.0 99.0 99.00
2013 01 08 19 50 203 13.5 16.6  3.62 12.90  6.83 275 1014.3  10.5  10.5 999.0 99.0 99.00
2013 01 08 20 50 209 12.9 16.3  3.55  6.67  6.71 224 1014.0  10.5  10.6 999.0 99.0 99.00
2013 01 08 21 50 204 14.3 16.6  3.77  7.14  6.72 222 1013.2  10.5  10.6 999.0 99.0 99.00
2013 01 08 22 50 199 13.3 16.3  3.76  6.67  6.96 211 1012.4  10.8  10.6 999.0 99.0 99.00
2013 01 08 23 50 196 13.6 16.3  4.04  7.14  7.09 222 1012.5  10.9  10.6 999.0 99.0 99.00
2013 01 09 00 50 198 13.8 16.8  4.57  8.33  7.49 239 1012.0  10.9  10.6 999.0 99.0 99.00
2013 01 09 01 50 194 14.8 18.5  4.59  7.14  7.45 225 1011.1  10.7  10.6 999.0 99.0 99.00
2013 01 09 02 50 194 14.7 18.4  4.63  9.09  7.50 258 1010.5  10.6  10.6 999.0 99.0 99.00
2013 01 09 03 50 196 14.4 17.2  4.98  9.09  7.38 253 1009.9  10.5  10.6 999.0 99.0 99.00
2013 01 09 04 50 196 14.6 18.7  4.91 10.81  7.55 262 1009.4  10.7  10.6 999.0 99.0 99.00
2013 01 09 05 50 198 15.9 19.8  5.13  8.33  7.52 237 1008.7  10.4  10.6 999.0 99.0 99.00
2013 01 09 06 50 196 14.9 18.6  5.40  9.09  7.71 253 1008.4  10.0  10.6 999.0 99.0 99.00
2013 01 09 07 50 195 14.4 17.0  5.63  8.33  7.94 213 1008.1  10.1  10.6 999.0 99.0 99.00
2013 01 09 08 50 263  6.3  9.0  5.28 12.90  8.14 281 1008.7   8.5  10.6 999.0 99.0 99.00
2013 01 09 09 50 284  8.5 10.4  5.58 13.79  8.49 298 1008.6   7.9  10.6 999.0 99.0 99.00
2013 01 09 10 50 276  5.4  7.4  5.33 13.79  8.46 291 1008.3   7.2  10.6 999.0 99.0 99.00
2013 01 09 11 50 260  4.3  6.3  4.43 14.81  8.22 290 1007.8   7.2  10.6 999.0 99.0 99.00
2013 01 09 12 50 302  8.0 10.3  5.04 13.79  8.65 298 1007.2   7.7  10.6 999.0 99.0 99.00
2013 01 09 13 50 283  7.7 10.1  4.22 13.79  8.12 293 1007.3   7.5  10.6 999.0 99.0 99.00
2013 01 09 14 50 291  6.8  8.4  4.53 12.12  8.46 292 1007.8   7.7  10.6 999.0 99.0 99.00
2013 01 09 15 50 283  8.8 10.6  4.28 13.79  8.21 293 1008.1   8.2  10.6 999.0 99.0 99.00
2013 01 09 16 50 302  7.7 10.1  4.47 13.79  8.55 295 1009.0   7.8  10.6 999.0 99.0 99.00
2013 01 09 17 50 297 10.5 12.5  4.52 12.90  8.32 283 1009.5   8.0  10.5 999.0 99.0 99.00
2013 01 09 18 50 297  9.3 11.6  4.26 12.12  7.79 278 1010.6   8.0  10.5 999.0 99.0 99.00
2013 01 09 19 50 281 10.3 12.8  4.34 11.43  7.86 283 1010.7   8.2  10.5 999.0 99.0 99.00
2013 01 09 20 50 279  9.5 11.7  4.53 12.90  8.02 291 1011.1   7.9  10.4 999.0 99.0 99.00
2013 01 09 21 50 272  7.9 10.6  4.01 12.90  7.63 279 1011.6   7.8  10.4 999.0 99.0 99.00
2013 01 09 22 50 284  8.7 11.2  4.10 12.90  8.09 287 1012.0   7.8  10.4 999.0 99.0 99.00
2013 01 09 23 50 277  9.1 11.6  4.07 11.43  7.97 291 1012.6   7.1  10.4 999.0 99.0 99.00
2013 01 10 00 50 274  7.0  8.9  3.99 12.12  7.90 290 1012.9   7.5  10.4 999.0 99.0 99.00
2013 01 10 01 50 259  4.4  6.3  3.95 10.00  7.70 276 1013.2   6.6  10.4 999.0 99.0 99.00
2013 01 10 02 50 285  6.3  8.5  3.67 10.81  7.78 275 1013.3   7.4  10.4 999.0 99.0 99.00
2013 01 10 03 50 293  7.4  8.7  3.60 12.12  7.94 290 1013.4   7.0  10.4 999.0 99.0 99.00
2013 01 10 04 50 316  5.7  7.3  3.87 12.12  8.23 280 1013.8   6.7  10.4 999.0 99.0 99.00
